panel,position,baseline,delta,lo,hi,n
M,QB,b3_prior_points,-0.031186560541604968,-0.14901649788115293,0.09096484668381628,7
M,QB,b4_tier_heuristic,0.019417213632899437,-0.09627390902110904,0.12942497569479677,7
M,QB,b3w_wavg_ppg,-0.030616450436775546,-0.13444975433855805,0.07729538707107961,7
M,RB,b3_prior_points,0.11638295923941465,0.03743012039359591,0.1868255592519525,7
M,RB,b4_tier_heuristic,0.1615570352185216,0.10468391593114242,0.21480090791869572,7
M,RB,b3w_wavg_ppg,0.08839526567230112,0.006873854929246936,0.16669983777865285,7
M,WR,b3_prior_points,0.11029280608698169,0.06680629391701196,0.15453930626297732,7
M,WR,b4_tier_heuristic,0.14863303290260493,0.10850025166325726,0.19283160764923615,7
M,WR,b3w_wavg_ppg,0.07348577666014593,0.002471460409716448,0.14324542162654763,7
M,TE,b3_prior_points,0.11230139958824273,-0.02093314386126695,0.2697816978226503,7
M,TE,b4_tier_heuristic,0.18251296077210558,-0.006824875619066888,0.40240693743374417,7
M,TE,b3w_wavg_ppg,0.05157723855969117,-0.06101311226595373,0.1620730075907207,7
E,QB,b3_prior_points,0.08620986928434045,-0.005609175095971586,0.1887998758310103,4
E,QB,b4_tier_heuristic,0.09693666201546985,-0.004581914361405703,0.21269843228158383,4
E,QB,b3w_wavg_ppg,0.09464008768301484,0.029353739419734168,0.16769475653840815,4
E,RB,b3_prior_points,0.13643015434045425,0.08416035351019434,0.18011673611518536,4
E,RB,b4_tier_heuristic,0.16977170838492409,0.10837543282541645,0.22760224893026845,4
E,RB,b3w_wavg_ppg,0.15207422955220865,0.12023923962896249,0.18961075241316394,4
E,WR,b3_prior_points,0.13400793582712428,0.1106720417218657,0.15243680130072143,4
E,WR,b4_tier_heuristic,0.16914856434590575,0.12927611508444098,0.1978123243442354,4
E,WR,b3w_wavg_ppg,0.15442286737247454,0.143570283732377,0.1646666420649916,4
E,TE,b3_prior_points,0.14081468318426285,0.09370632473841226,0.17656390266824828,4
E,TE,b4_tier_heuristic,0.15102854889587097,0.09805845263847365,0.1860392441851443,4
E,TE,b3w_wavg_ppg,0.13568416163570904,0.08321760473354956,0.18815071853786852,4
